table_id,Line,Termini,Length,Type,Maximum speed,Opening,Status,country,Length_clean,Length_km,Opening_year
13,Pottendorfer Line [de],Vienna–Wiener Neustadt,47 km (29 mi),Upgraded,200 km/h (120 mph),2029[47],Undergoing upgrade,Austria,47 km (29 mi),47,2029
13,Semmering Base Tunnel,Gloggnitz–Mürzzuschlag,27.3 km (17.0 mi),New,230 km/h (140 mph),2030,Under construction,Austria,27.3 km (17.0 mi),27.3,2030
13,North railway line,Gänserndorf–B?eclav,47 km (29 mi),Upgraded,200 km/h (120 mph),2030,Undergoing upgrade,Austria,47 km (29 mi),47,2030
13,Brenner Base Tunnel,Innsbruck–Italy border,46 km (29 mi),New,250 km/h (160 mph),2032,Under construction,Austria,46 km (29 mi),46,2032
14,Rail Baltica,Tallinn–Vilnius,870 km (540 mi),New,234 km/h (145 mph),2028[bw]–2030[bx]–2032[by],Under construction,Baltic_States,870 km (540 mi),870,2028
15,HSL 1,LGV Nord–Bruxelles-Sud,88 km (55 mi),New,300 km/h (190 mph),1997,Operational,Belgium,88 km (55 mi),88,1997
15,HSL 2+line 36N,Leuven–Liège-Guillemins,66 km (41 mi),New,300 km/h (190 mph),2002,Operational,Belgium,66 km (41 mi),66,2002
15,HSL 2+line 36N,Leuven–Bruxelles-Nord,28.8 km (17.9 mi),Partly new,200 km/h (120 mph),2003–2006,Operational,Belgium,28.8 km (17.9 mi),28.8,2003
15,HSL 3,Liège-Guillemins–Cologne-Aachen,42 km (26 mi),New,260 km/h (160 mph),2009,Operational,Belgium,42 km (26 mi),42,2009
15,HSL 4,Antwerpen-Centraal–HSL Zuid,36 km (22 mi),New,300 km/h (190 mph),2009,Operational,Belgium,36 km (22 mi),36,2009
15,Belgian railway line 50A,Brussels–Denderleeuw; Gent–Brugge,57.9 km (36.0 mi),Upgraded,200 km/h (120 mph),TBD,Undergoing upgrade,Belgium,57.9 km (36.0 mi),57.9,
15,Diabolo project,N/A (connecting line),3 km (1.9 mi),Upgraded,200 km/h (120 mph),TBD,Undergoing upgrade,Belgium,3 km (1.9 mi),3,
16,Line 001,Prague-Po?í?any,30 km (19 mi),Upgraded,320 km/h (200 mph),TBD,Undergoing upgrade,Czech_Republic,30 km (19 mi),30,
16,Line 001,P?erov – Ostrava,25.594 km (15.903 mi),Upgraded,320 km/h (200 mph),TBD,Undergoing upgrade,Czech_Republic,25.594 km (15.903 mi),25.594,
16,Line 002,Brno-Vranovice,83.796 km (52.068 mi),Upgraded,200 km/h (120 mph),TBD,Undergoing upgrade,Czech_Republic,83.796 km (52.068 mi),83.796,
17,Øresund Line,Copenhagen Central–Swedish border,10 km (6.2 mi)[bz],New,200 km/h (120 mph),2000,Operational,Denmark,10 km (6.2 mi)[bz],10,2000
17,Copenhagen–Ringsted Line,Copenhagen central–Ringsted,60 km (37 mi),New,200 km/h (120 mph),2019,Operational,Denmark,60 km (37 mi),60,2019
