"","table_id","Line","Termini","Length","Type","Maximum speed","Opening","Status","country"
"190","22","Verona–Bologna railway","Verona–Bologna Centrale","115 km (71 mi)","Upgraded","200 km/h (120 mph)","2009","Operational","Italy"
"191","22","Rome–Naples","Roma Termini–Napoli Centrale","204.6 km (127.1 mi)","New","300 km/h (190 mph)","2009","Operational","Italy"
"192","22","Bologna–Ancona railway","Bologna–Ancona","153 km (95 mi)[da]","Upgraded","200 km/h (120 mph)","2015","Operational","Italy"
"193","22","Adriatic railway","Brindisi–Lecce","38.364 km (23.838 mi)","Upgraded","200 km/h (120 mph)","2018","Operational","Italy"
"194","22","Adriatic railway","Pescara–Termoli","89.468 km (55.593 mi)","Upgraded","200 km/h (120 mph)","2026","Undergoing upgrade","Italy"
"195","22","Pisa–Rome railway","Cecina–Castagneto Carducci-Donoratico; Orbetello–Follonica","91 km (57 mi)","Upgraded","200 km/h (120 mph)","?","Operational","Italy"
"196","22","Milan–Verona","Milano Lambrate–Verona Porta Nuova","165 km (103 mi)","New","300 km/h (190 mph)","2023","Partly operational[db]","Italy"
"197","22","Tortona–Genoa","Genoa–Tortona","53 km (33 mi)","New","250 km/h (160 mph)","2026","Under construction","Italy"
"198","22","Naples–Bari[62]","Naples–Bari","147 km (91 mi)","New","250 km/h (160 mph)","2027","Under construction","Italy"
"199","22","Salerno–Reggio di Calabria railway","Battipaglia–Romagnano","35 km (22 mi)","Partly new","300 km/h (190 mph)","2030","Under construction","Italy"
"200","22","Alessandria–Piacenza railway","Tortona–Voghera","16 km (9.9 mi)[dc]","Upgraded","200 km/h (120 mph)","2026","Undergoing upgrade","Italy"
"201","22","Palermo–Catania–Messina high-speed railway","Palermo–Catania–Messina","67 km (42 mi)","New","250 km/h (160 mph)","2029","Under construction","Italy"
"202","22","Genoa–Ventimiglia railway","Andora–Finale Ligure","32 km (20 mi)","Upgraded","200 km/h (120 mph)","2030","Undergoing upgrade","Italy"
"203","22","Brenner Base Tunnel+Verona-Brenner railway","Austrian border–Tunnel's south portal–Verona","198 km (123 mi)","Partly new","250 km/h (160 mph)","2032","Under construction","Italy"
"204","22","Turin–Lyon high-speed railway","Turin–French border","57 km (35 mi)","New","220 km/h (140 mph)","2032","Under construction","Italy"
"205","22","Venice–Trieste railway","Venice–Trieste","153 km (95 mi)","Upgraded","200 km/h (120 mph)","TBD","Undergoing upgrade","Italy"
"206","22","Ionian Railway","Taranto-Metaponto","43.2 km (26.8 mi)","Upgraded","200 km/h (120 mph)","TBD","Undergoing upgrade","Italy"
"207","23","HSL-Zuid","Amsterdam Centraal–Belgian border","125 km (78 mi)","New","300 km/h (190 mph)","2009","Operational","Netherlands"
"208","23","Lelystad–Zwolle railway","Lelystad Centrum–Zwolle","50 km (31 mi)","New","200 km/h (120 mph)[dd]","2012","Operational","Netherlands"
"209","24","Gardermoen Line","Oslo–Eidsvoll","64 km (40 mi)","New","210 km/h (130 mph)","1998","Operational","Norway"
"210","24","Dovre Line","Langset-Kleverud","17 km (11 mi) (of 484 km (301 mi))","New","200 km/h (120 mph)","2015","Operational","Norway"
"211","24","Dovre Line","Eidsvoll-Hamar(-Trondheim)[de]","41 km (25 mi) (of 484 km (301 mi))","Upgraded","200 km/h (120 mph)","2027","Undergoing upgrade","Norway"
"212","24","Dovre Line","Hamar-Brumunddal-Lillehammer","55 km (34 mi)","Partly new","250 km/h (160 mph)","2030[df]-2035[dg]","Undergoing upgrade and construction","Norway"
"213","24","Vestfold Line","Farriseidet–Porsgrunn","23.5 km (14.6 mi)","Upgraded","200 km/h (120 mph)","2018","Operational","Norway"
