"","name","round1","round2","round3","round4","round5","round6","year","seed","team.id","TEAM.NO"
"230","OSU",0.956,0.815,0.575,0.227,0.092,0.034,2021,NA,NA,NA
"231","Oklahoma",0.612,0.041,0.021,0.008,0.003,0.002,2021,NA,NA,NA
"232","Oklahoma State",0.86,0.593,0.15,0.097,0.044,0.016,2021,NA,NA,NA
"233","Oral Roberts",0.044,0.018,0.009,0.003,0.001,0.001,2021,NA,NA,NA
"234","Oregon",0.663,0.135,0.057,0.012,0.005,0.003,2021,NA,NA,NA
"235","Oregon State",0.216,0.046,0.01,0.004,0.002,0.001,2021,NA,NA,NA
"236","Purdue",0.89,0.506,0.092,0.037,0.013,0.005,2021,NA,NA,NA
"237","Rutgers",0.393,0.072,0.021,0.005,0.002,0.001,2021,NA,NA,NA
"238","San Diego State",0.599,0.223,0.085,0.019,0.007,0.003,2021,NA,NA,NA
"239","St. Bonaventure",0.32,0.041,0.018,0.007,0.002,0.001,2021,NA,NA,NA
"240","Syracuse",0.401,0.12,0.042,0.012,0.005,0.003,2021,NA,NA,NA
"241","Tennessee",0.784,0.309,0.073,0.033,0.013,0.005,2021,NA,NA,NA
"242","Texas",0.927,0.699,0.328,0.152,0.037,0.015,2021,NA,NA,NA
"243","Texas Tech",0.78,0.369,0.133,0.039,0.013,0.005,2021,NA,NA,NA
"244","UConn",0.562,0.137,0.062,0.024,0.008,0.004,2021,NA,NA,NA
"245","UCSB",0.248,0.065,0.008,0.003,0.001,0.001,2021,NA,NA,NA
"246","UNCG",0.097,0.03,0.008,0.003,0.001,0.001,2021,NA,NA,NA
"247","USC",0.785,0.25,0.076,0.014,0.005,0.002,2021,NA,NA,NA
"248","Utah State",0.22,0.06,0.015,0.004,0.002,0.001,2021,NA,NA,NA
"249","VCU",0.337,0.048,0.015,0.004,0.002,0.001,2021,NA,NA,NA
"250","Villanova",0.746,0.384,0.094,0.049,0.023,0.008,2021,NA,NA,NA
"251","UVA",0.807,0.548,0.078,0.037,0.017,0.008,2021,NA,NA,NA
"252","Virginia Tech",0.447,0.071,0.027,0.008,0.003,0.001,2021,NA,NA,NA
"253","West Virginia",0.925,0.632,0.313,0.083,0.032,0.012,2021,NA,NA,NA
"254","Wichita State/Drake",0.215,0.044,0.011,0.003,0.001,0.001,2021,NA,NA,NA
"255","Winthrop",0.254,0.078,0.011,0.005,0.002,0.001,2021,NA,NA,NA
"256","Wisconsin",0.453,0.065,0.031,0.013,0.005,0.003,2021,NA,NA,NA
"257","Akron",0.091,0.032,0.008,0.003,0.001,0.001,2022,NA,NA,NA
"258","Alabama",0.711,0.217,0.072,0.018,0.007,0.004,2022,NA,NA,NA
"259","Arizona",0.968,0.889,0.672,0.433,0.298,0.134,2022,NA,NA,NA
"260","Arkansas",0.768,0.464,0.084,0.037,0.016,0.008,2022,NA,NA,NA
"261","Auburn",0.95,0.781,0.525,0.237,0.104,0.043,2022,NA,NA,NA
"262","Baylor",0.962,0.786,0.537,0.285,0.105,0.054,2022,NA,NA,NA
"263","Boise State",0.378,0.03,0.012,0.005,0.002,0.001,2022,NA,NA,NA
"264","Chattanooga",0.166,0.05,0.011,0.004,0.002,0.001,2022,NA,NA,NA
"265","Colgate",0.116,0.039,0.01,0.004,0.001,0.001,2022,NA,NA,NA
"266","Colorado State",0.44,0.094,0.03,0.008,0.003,0.001,2022,NA,NA,NA
"267","Creighton",0.505,0.052,0.021,0.008,0.003,0.001,2022,NA,NA,NA
"268","CSU Fullerton",0.044,0.017,0.009,0.003,0.001,0.001,2022,NA,NA,NA
"269","Davidson",0.402,0.07,0.02,0.005,0.002,0.001,2022,NA,NA,NA
"270","Delaware",0.051,0.02,0.009,0.003,0.001,0.001,2022,NA,NA,NA
"271","Duke",0.956,0.777,0.459,0.172,0.103,0.063,2022,NA,NA,NA
"272","Georgia State",0.035,0.016,0.009,0.005,0.003,0.002,2022,NA,NA,NA
"273","Gonzaga",0.965,0.903,0.787,0.584,0.417,0.271,2022,NA,NA,NA
"274","Houston",0.802,0.433,0.139,0.071,0.038,0.015,2022,NA,NA,NA
"275","Illinois",0.834,0.458,0.122,0.055,0.023,0.01,2022,NA,NA,NA
"276","Indiana",0.314,0.075,0.019,0.007,0.003,0.002,2022,NA,NA,NA
"277","Iowa",0.856,0.609,0.214,0.122,0.04,0.016,2022,NA,NA,NA
"278","Iowa State",0.374,0.1,0.027,0.007,0.002,0.001,2022,NA,NA,NA
"279","J'Ville St",0.05,0.019,0.009,0.003,0.001,0.001,2022,NA,NA,NA
"280","Kansas",0.966,0.874,0.649,0.427,0.193,0.083,2022,NA,NA,NA
"281","Kentucky",0.956,0.832,0.546,0.319,0.13,0.069,2022,NA,NA,NA
"282","Longwood",0.063,0.024,0.008,0.003,0.001,0.001,2022,NA,NA,NA
"283","Loyola Chicago",0.485,0.107,0.034,0.01,0.004,0.002,2022,NA,NA,NA
"284","LSU",0.626,0.233,0.076,0.025,0.009,0.003,2022,NA,NA,NA
"285","Marquette",0.337,0.05,0.019,0.007,0.002,0.001,2022,NA,NA,NA
"286","Memphis",0.622,0.051,0.023,0.009,0.004,0.002,2022,NA,NA,NA
"287","Miami",0.448,0.087,0.033,0.01,0.004,0.002,2022,NA,NA,NA
"288","Michigan",0.56,0.128,0.041,0.015,0.007,0.004,2022,NA,NA,NA
"289","Michigan State",0.598,0.135,0.053,0.015,0.007,0.004,2022,NA,NA,NA
"290","Montana State",0.078,0.027,0.007,0.003,0.001,0.001,2022,NA,NA,NA
"291","Murray State",0.681,0.107,0.04,0.014,0.004,0.002,2022,NA,NA,NA
"292","New Mexico St",0.197,0.049,0.008,0.003,0.001,0.001,2022,NA,NA,NA
"293","Norfolk State",0.038,0.015,0.008,0.005,0.002,0.001,2022,NA,NA,NA
"294","UNC",0.663,0.149,0.071,0.027,0.011,0.007,2022,NA,NA,NA
"295","Notre Dame",0.289,0.058,0.015,0.004,0.002,0.001,2022,NA,NA,NA
"296","OSU",0.515,0.114,0.041,0.013,0.006,0.003,2022,NA,NA,NA
"297","Providence",0.688,0.264,0.057,0.024,0.008,0.003,2022,NA,NA,NA
"298","Purdue",0.925,0.633,0.277,0.147,0.053,0.024,2022,NA,NA,NA
"299","Richmond",0.144,0.052,0.012,0.004,0.002,0.001,2022,NA,NA,NA
"300","S Dakota St",0.312,0.075,0.016,0.007,0.003,0.001,2022,NA,NA,NA
"301","Saint Mary's",0.686,0.228,0.057,0.018,0.005,0.002,2022,NA,NA,NA
"302","Saint Peter's",0.044,0.019,0.009,0.003,0.001,0.001,2022,NA,NA,NA
"303","San Diego State",0.495,0.058,0.024,0.009,0.003,0.001,2022,NA,NA,NA
"304","San Francisco",0.319,0.041,0.014,0.004,0.002,0.001,2022,NA,NA,NA
"305","Seton Hall",0.485,0.046,0.017,0.006,0.002,0.001,2022,NA,NA,NA
"306","TCU",0.515,0.051,0.02,0.007,0.003,0.001,2022,NA,NA,NA
"307","Tennessee",0.937,0.754,0.428,0.189,0.1,0.042,2022,NA,NA,NA
"308","Texas",0.475,0.156,0.05,0.017,0.006,0.003,2022,NA,NA,NA
"309","Texas Southern",0.034,0.015,0.008,0.005,0.002,0.001,2022,NA,NA,NA
