"","BracketID","TotalPoints","Model","Year"
"773",73,41,"XGBoost",2022
"774",74,39,"XGBoost",2022
"775",75,38,"XGBoost",2022
"776",76,33,"XGBoost",2022
"777",77,42,"XGBoost",2022
"778",78,29,"XGBoost",2022
"779",79,37,"XGBoost",2022
"780",80,33,"XGBoost",2022
"781",81,40,"XGBoost",2022
"782",82,36,"XGBoost",2022
"783",83,37,"XGBoost",2022
"784",84,42,"XGBoost",2022
"785",85,38,"XGBoost",2022
"786",86,41,"XGBoost",2022
"787",87,32,"XGBoost",2022
"788",88,33,"XGBoost",2022
"789",89,31,"XGBoost",2022
"790",90,35,"XGBoost",2022
"791",91,32,"XGBoost",2022
"792",92,38,"XGBoost",2022
"793",93,29,"XGBoost",2022
"794",94,32,"XGBoost",2022
"795",95,31,"XGBoost",2022
"796",96,46,"XGBoost",2022
"797",97,32,"XGBoost",2022
"798",98,34,"XGBoost",2022
"799",99,32,"XGBoost",2022
"800",100,50,"XGBoost",2022
"801",1,38,"Consensus",2022
"802",2,53,"Consensus",2022
"803",3,38,"Consensus",2022
"804",4,40,"Consensus",2022
"805",5,47,"Consensus",2022
"806",6,41,"Consensus",2022
"807",7,36,"Consensus",2022
"808",8,38,"Consensus",2022
"809",9,43,"Consensus",2022
"810",10,46,"Consensus",2022
"811",11,39,"Consensus",2022
"812",12,39,"Consensus",2022
"813",13,41,"Consensus",2022
"814",14,37,"Consensus",2022
"815",15,36,"Consensus",2022
"816",16,39,"Consensus",2022
"817",17,40,"Consensus",2022
"818",18,37,"Consensus",2022
"819",19,48,"Consensus",2022
"820",20,40,"Consensus",2022
"821",21,55,"Consensus",2022
"822",22,44,"Consensus",2022
"823",23,37,"Consensus",2022
"824",24,28,"Consensus",2022
"825",25,43,"Consensus",2022
"826",26,44,"Consensus",2022
"827",27,32,"Consensus",2022
"828",28,35,"Consensus",2022
"829",29,45,"Consensus",2022
"830",30,46,"Consensus",2022
"831",31,37,"Consensus",2022
"832",32,40,"Consensus",2022
"833",33,52,"Consensus",2022
"834",34,36,"Consensus",2022
"835",35,46,"Consensus",2022
"836",36,53,"Consensus",2022
"837",37,40,"Consensus",2022
"838",38,48,"Consensus",2022
"839",39,36,"Consensus",2022
"840",40,38,"Consensus",2022
"841",41,51,"Consensus",2022
"842",42,38,"Consensus",2022
"843",43,36,"Consensus",2022
